"","source_country","source_country_code","target_country_code","target_country","z","distance","m_levenshtein_distance","cult_dist","gdp_ratio"
"174","Brazil","BR","ID","Indonesia",0.000775690386232803,28830.3,98.03,"38.07887",6.42916202276496
"175","Brazil","BR","IE","Ireland",0.00381744257494346,13923.272,95.45,"68.89848",39.7724922412424
"176","Brazil","BR","IL","Israel",0.00150780266087949,17165.37,99.2,"58.48932",21.0136519123006
"177","Brazil","BR","IT","Italy",0.064064181842744,14746.543,65.48,"47.40253",22.7979113844694
"178","Brazil","BR","JP","Japan",0.00523808901265073,28320.531,102.07,"51.58488",24.8760716267319
"179","Brazil","BR","KR","Korea, Republic of",0.000623166995681409,28332.469,101.05,"25.72936",NA
"180","Brazil","BR","MY","Malaysia",0.000183028068661673,28653.014,99.64,"54.49771",11.8416664923142
"181","Brazil","BR","MT","Malta",0.000679818540743355,14510.133,93.95,"31.84337",17.1150812937562
"182","Brazil","BR","MX","Mexico",0.00520758433454045,10978.934,67.96,"25.37716",1.53435175815367
"183","Brazil","BR","MA","Morocco",0.000788763819708637,11416.738,94.44,"15.81139",10.0857850348103
"184","Brazil","BR","NL","Netherlands",0.0170826197417561,14905.533,95.72,"66.92533",38.4523838970926
"185","Brazil","BR","NZ","New Zealand",0.0013552792703281,19700.232,95.45,"68.55655",24.8327813573239
"186","Brazil","BR","NO","Norway",0.00160367450636894,17000.242,97.01,"69.00725",59.2265876247519
"187","Brazil","BR","PE","Peru",0.00372592854061262,3925.7522,67.96,"26.05763",4.6507204135487
"188","Brazil","BR","PH","Philippines",0.000122018712441115,31300.547,99.96,"43.70355",10.7161592359624
"189","Brazil","BR","PL","Poland",0.00156009639478283,16230.591,94.86,"31.60696",10.7613190919043
"190","Brazil","BR","PT","Portugal",0.0305395405995477,12235.757,0,"35.56684",15.1692332534956
"191","Brazil","BR","RO","Romania",0.000344267081530289,16502.03,72.52,"27.38613",4.30543679731513
"192","Brazil","BR","RU","Russian Federation",0.00113738871239754,22772.09,96.44,"33.27161",11.8383596553856
"193","Brazil","BR","SG","Singapore",0.000326835836895844,27537.516,101.76,"70.52659",80.8634873339561
"194","Brazil","BR","SI","Slovenia",0.000631882617998632,15365.323,93.72,"34.19064",17.066297628571
"195","Brazil","BR","ZA","South Africa",0.00146858236045199,13020.133,100.66,"45.32108",3.37324713356679
"196","Brazil","BR","ES","Spain",0.0392638785390874,12839.575,67.96,"21.49418",20.9914589326413
"197","Brazil","BR","SE","Sweden",0.00179541819734784,16815.363,94.2,"81.71903",35.4564968369175
"198","Brazil","BR","CH","Switzerland",0.00380001133030901,14686.257,93,"53.75872",50.0187735083742
"199","Brazil","BR","TH","Thailand",0.00134220583685227,27805.062,97,"26.79552",0.124393228620645
"200","Brazil","BR","TR","Turkey",0.00174748227460311,17485.73,99.15,"10.34408",4.06154547608638
"201","Brazil","BR","UA","Ukraine",0.000117660901282504,17345.426,95.69,"24.41646",8.66631894645346
"202","Brazil","BR","AE","United Arab Emirates",0.000409634248909458,19905.281,97.54,"18.15468",62.6316978602454
"203","Brazil","BR","GB","United Kingdom",0.0293803628313571,14439.274,95.45,"75.67695",28.9066344265139
"204","Brazil","BR","US","United States",0.131675621968598,11643.311,95.45,"68.69498",46.8703317064641
"205","Bulgaria","BG","AU","Australia",0.00293452344561961,21553.156,90.99,"79.70571",33.0011729124701
"206","Bulgaria","BG","AT","Austria",0.0265329828208107,1767.2045,91.56,"76.49837",35.7712754397961
"207","Bulgaria","BG","BE","Belgium",0.0169957816225469,2919.36,91.55,"48.23899",31.3680422977797
"208","Bulgaria","BG","BR","Brazil",0.00256770801491716,16384.523,91.05,"15.06652",0.941176887368189
"209","Bulgaria","BG","BG","Bulgaria",0.0611970410221923,0,0,"0",0
"210","Bulgaria","BG","CA","Canada",0.00226202848933178,11668.757,90.99,"70.52659",33.1550814051098
"211","Bulgaria","BG","CL","Chile",0.000855902671639054,21458.652,93.8,"15.58846",6.92212753718917
"212","Bulgaria","BG","CO","Colombia",0.000183407715351226,16827.613,93.8,"29.98333",3.93872841558055
"213","Bulgaria","BG","HR","Croatia",0.0244543620468301,1211.0204,47.15,"6.557438",5.5499229154243
"214","Bulgaria","BG","CZ","Czech Republic",0.0175460047686006,1767.8777,54.11,"46.42198",16.6625306949162
"215","Bulgaria","BG","DK","Denmark",0.0121049092131809,2882.6997,95.01,"95.18403",34.1931831647919
"216","Bulgaria","BG","EE","Estonia",0.00110044629210735,2839.7761,97.2,NA,12.4798816697911
"217","Bulgaria","BG","FI","Finland",0.000855902671639054,3977.1748,99.2,NA,28.2300382281634
"218","Bulgaria","BG","FR","France",0.0871798006969493,3026.2966,91.67,"41.17038",26.8602811381569
"219","Bulgaria","BG","DE","Germany",0.0710399217460415,2369.9746,91.56,"60.58052",35.2633572493697
"220","Bulgaria","BG","GR","Greece",0.0599131870147338,829.2789,95.95,"33.80828",11.1886968666031
"221","Bulgaria","BG","HK","Hong Kong",0.00134498991257566,13258.0625,97.96,"58.77074",46.4786300244317
"222","Bulgaria","BG","HU","Hungary",0.0197468973528153,1096.6178,94.31,"73.40981",9.79126284978338
"223","Bulgaria","BG","IS","Iceland",0.00171180534327811,5946.895,93.95,"68.00735",32.2447508052221
"224","Bulgaria","BG","IN","India",0.000794766766521978,9318.056,88.99,"51.51699",13.1897114397199
"225","Bulgaria","BG","ID","Indonesia",0.00379042611725867,16743.074,101.69,"41.53312",7.37033891013315
"226","Bulgaria","BG","IE","Ireland",0.0059301827963563,4409.347,90.99,"81.53527",38.8313153538742
"227","Bulgaria","BG","IL","Israel",0.00537995965030262,2439.4436,99.45,"62.36987",20.0724750249324
"228","Bulgaria","BG","IT","Italy",0.172219844714801,1716.1461,88.38,"59.29587",21.8567344971012
"229","Bulgaria","BG","JP","Japan",0.00819221128568808,14113.877,102.04,"59.88322",23.9348947393637
"230","Bulgaria","BG","KR","Korea, Republic of",0.00152839762792688,13284.287,98.15,"15.65248",NA
"231","Bulgaria","BG","MY","Malaysia",0.00122271810234151,14813.662,99.35,"60.60528",10.900489604946
"232","Bulgaria","BG","MT","Malta",0.0116769578773614,1956.4634,98.4,"34.74191",16.173904406388
"233","Bulgaria","BG","MX","Mexico",0.00171180534327811,17577.51,93.8,"31.16087",0.593174870785485
"234","Bulgaria","BG","MA","Morocco",0.00152839762792688,4995.5933,99.45,"21.97726",11.0269619221784
"235","Bulgaria","BG","NL","Netherlands",0.027633429112918,2951.9744,92.44,"72.27724",37.5112070097244
"236","Bulgaria","BG","NZ","New Zealand",0.00195634896374641,27935.9,90.99,NA,23.8916044699557
"237","Bulgaria","BG","NO","Norway",0.00281225163538546,3986.7786,92.7,"72.73926",58.2854107373837
"238","Bulgaria","BG","PE","Peru",0.000489087240936602,18594.207,93.8,NA,5.59189730091689
"239","Bulgaria","BG","PH","Philippines",0.00244543620468301,15356.329,102.73,"53.2635",11.6573361233306
"240","Bulgaria","BG","PL","Poland",0.00507428012471725,1815.0266,60.05,"39.29377",9.82014220453608
"241","Bulgaria","BG","PT","Portugal",0.0190744023965275,4498.119,91.05,"22.36068",14.2280563661274
"242","Bulgaria","BG","RO","Romania",0.0166901020969615,579.4336,86.09,"20.71231",3.36425990994694
"243","Bulgaria","BG","RU","Russian Federation",0.00440178516842942,7806.177,66.64,"26.94439",10.8971827680174
"244","Bulgaria","BG","SG","Singapore",0.00128385400745858,14409.283,99.81,"78.1601",79.9223104465879
"245","Bulgaria","BG","SI","Slovenia",0.00764198813963441,1472.8364,40.24,"21.44761",16.1251207412028
"246","Bulgaria","BG","ZA","South Africa",0.000917038576756129,12744.355,99.08,NA,4.31442402093498
"247","Bulgaria","BG","ES","Spain",0.0915204499602617,3777.2168,93.8,"24.79919",20.0502820452731
"248","Bulgaria","BG","SE","Sweden",0.00923152167267836,3581.7153,94.69,"86.96551",34.5153199495493
"249","Bulgaria","BG","CH","Switzerland",0.00782539585498563,2306.566,89.98,"66.09841",49.077596621006
"250","Bulgaria","BG","TH","Thailand",0.00537995965030262,12698.913,101.94,"24.75884",1.06557011598883
"251","Bulgaria","BG","TR","Turkey",0.0163844225713762,1482.0833,97.14,"9.486833",3.1203685887182
"252","Bulgaria","BG","UA","Ukraine",0.000917038576756129,1235.4434,63.7,"34.19481",9.60749583382165
"253","Bulgaria","BG","AE","United Arab Emirates",0.00427951335819527,5328.02,98.42,"25.67388",61.6905209728772
"254","Bulgaria","BG","GB","United Kingdom",0.0574677508100507,3983.7776,90.99,"88.78063",27.9654575391457
"255","Bulgaria","BG","US","United States",0.0332579323836889,15049.507,90.99,"81.40025",45.9291548190959
"256","Canada","CA","AU","Australia",0.0116087556056341,23571.717,0,"14.10674",0.153908492639657
"257","Canada","CA","AT","Austria",0.00439293255455,10160.656,72.61,"51.20547",2.61619403468633
"258","Canada","CA","BE","Belgium",0.00542812512027478,9169.635,66.45,"53.11309",1.78703910733002
"259","Canada","CA","BR","Brazil",0.00351700038355212,15005.497,95.45,"58.79626",34.0962582924779
"260","Canada","CA","BG","Bulgaria",0.000289323050420514,11668.757,90.99,"70.52659",33.1550814051098
"261","Canada","CA","CA","Canada",0.378658841672606,0,0,"0",0
"262","Canada","CA","CL","Chile",0.00164170923564301,18048.166,92.25,"76.4526",26.2329538679206
"263","Canada","CA","CO","Colombia",0.00198942776413005,10767.584,92.25,"80.25584",37.0938098206903
"264","Canada","CA","HR","Croatia",0.011560977487216,10851.29,87.63,"67.32756",27.6051584896855
"265","Canada","CA","CZ","Czech Republic",0.00554226173649571,9969.514,91.28,"35",16.4925507101936
"266","Canada","CA","DK","Denmark",0.00412484422342641,8791.433,69.62,"48.96938",1.03810175968213
"267","Canada","CA","EE","Estonia",0.000309230599761375,9131.342,98.77,"32.07803",20.6751997353187
"268","Canada","CA","FI","Finland",0.00102590237603237,8208.539,101.39,"33.49627",4.92504317694634
"269","Canada","CA","FR","France",0.0630286283831221,9639.913,92.06,"49.46716",6.29480026695285
"270","Canada","CA","DE","Germany",0.0147368951920614,9456.243,72.61,"25.88436",2.10827584425999
"271","Canada","CA","GR","Greece",0.00922383119459895,12290.339,96.26,"81.16033",21.9663845385067
"272","Canada","CA","HK","Hong Kong",0.0033710116883858,16418.014,98.52,"65.20736",13.323548619322
"273","Canada","CA","HU","Hungary",0.00377048984515908,10617.145,95.25,"50.01",23.3638185553264
